call,location,store
063-229-1786,"전북 전주시 완산구 우전로 240 효자점 이니스프리 (효자동2가,홈플러스)",홈플러스_IF효자점 
031-613-5329,"경기 화성시 동탄중앙로 200 상가동 홈플러스 화성동탄점 이니스프 (반송동,메타폴리스)",홈플러스_IF화성동탄점 
031-366-2291,"경기 화성시 향남읍 향남로 402 향남점 지하1층 이니스프리 (행정리,홈플러스화성향남점)",홈플러스_IF향남점 
02-337-0790,"서울 마포구 양화로 45 합정점 이니스프리 (서교동,홈플러스)",홈플러스_IF합정점 
031-983-9438,경기 김포시 풍무로 167 (풍무동),홈플러스_IF풍무점 
054-273-6210,경북 포항시 남구 중흥로 77 (상도동),홈플러스_IF포항점 
031-684-8828,경기 평택시 안중읍 서동대로 1489 홈플러스 홈플러스 평택안중점 지하2층 이니스프리 (현화리),홈플러스_IF평택안중점 
031-382-0909,경기 안양시 동안구 동안로 162 홈플러스 평촌점 지하1층 이니스프리 (비산동),홈플러스_IF평촌점 
031-952-7139,"경기 파주시 문산읍 방촌로 1759 파주문산점 이니스프리 (당동리,홈플러스)",홈플러스_IF파주문산점 
042-472-5342,"대전 서구 둔산중로 1 탄방점 이니스프리 (탄방동,홈플러스)",홈플러스_IF탄방점 
02-3439-7173,"서울 구로구 경인로 661 신도림1차 푸르지오 지하1,2층 홈플러스 신 (신도림동)",홈플러스_IF신도림점 
051-802-3454,"부산 부산진구 동천로 4 서면점 이니스프리 (전포동,홈플러스)",홈플러스_IF서면점 
02-802-4149,서울 금천구 시흥대로 201 홈플러스 시흥점 지하1층 이니스프리 (시흥동),홈플러스_IF시흥점 
032-888-7139,인천 중구 참외전로 246 홈플러스 숭의점 지하3층 이니스프리 (도원동),홈플러스_IF숭의점 
061-744-1786,전남 순천시 팔마로 222 (풍덕동),홈플러스_IF순천풍덕점 
061-723-1786,"전남 순천시 신월큰길 10 순천조례점 이니스프리 (조례동,홈플러스)",홈플러스_IF순천조례점 
031-662-7172,경기 평택시 경기대로 1103 (장당동),홈플러스_IF송탄점 
051-746-6732,"부산광역시 해운대구광역시 센텀동로 6 센텀시티점 이니스프리 (우동,홈플러스)",홈플러스_IF센텀시티점 
044-862-9509,"세종 절재로 154 세종점 (어진동,홈플러스)",홈플러스_IF세종점 
053-521-5790,"대구 달서구 달구벌대로 1467 성서점 이니스프리 (용산동,홈플러스)",홈플러스_IF성서점 
051-311-0479,"부산 사상구 광장로 7 지하1층 (괘법동,홈플러스서부산점)",홈플러스_IF서부산점 
042-543-8905,"대전 유성구 대정로 23 1층 (대정동,홈플러스서대전점)",홈플러스_IF서대전점 
064- 733-0316,"제주 서귀포시 중앙로 180 1층 이니스프리 (동홍동,홈플러스)",홈플러스_IF서귀포점 
053-631-3943,"대구 달서구 월배로 183 상인점 이니스프리 (상인동,홈플러스)",홈플러스_IF상인점 
033-575-7172,"강원 삼척시 중앙로 258 삼척점 이니스프리 (당저동,홈플러스)",홈플러스_IF삼척점 
031-251-7172,"경기 수원시 장안구 경수대로 930 2층 북수원점 (조원동,홈플러스)",홈플러스_IF북수원점 
032-674-7172,경기 부천시 오정구 소사로 663 홈플러스 부천여월점 지하2층 (여월동),홈플러스_IF부천여월점 
032-327-2673,경기 부천시 원미구 길주로 118 (상동),홈플러스_IF부천상동점 
02-423-1201,"서울 송파구 올림픽로35가길 16 잠실점 지하1층 이니스프리 (신천동,홈플러스)",홈플러스_IF잠실점 
051-727-7798,"부산 기장군 정관면 정관5로 50 부산정관점 (매학리,홈플러스부산정관점)",홈플러스_IF부산정관점 
041-936-1376,"충남 보령시 명암1길 17 보령점 이니스프리 (명천동,홈플러스)",홈플러스_IF보령점 
031-216-7139,"경기 수원시 영통구 중부대로 437 원천점 이니스프리 (원천동,홈플러스)",홈플러스_IF원천점 
02-3494-1201,"서울 도봉구 도봉로 678 방학점 지하2층 이니스프리 (방학동,홈플러스)",홈플러스_IF방학점 
032-556-2673,인천 계양구 계양대로 27 (작전동),홈플러스_IF작전점 
032-561-6087,인천 서구 중봉대로 587 홈플러스 인천청라점 지하2층 이니스프리 (경서동),홈플러스_IF인천청라점 
032-818-0790,"인천 연수구 청능대로 210 인천연수점 지하1층 이니스프리 (동춘동,홈플러스)",홈플러스_IF인천연수점 
032-811-9124,인천광역시 연수구 송도국제대로 165 (송도동) 홈플러스 인천송도점 지하1층 이니스프리,홈플러스_IF인천송도점 
032-438-7172,"인천광역시 남동구 청능대로 596 인천논현점 이니스프리 (논현동,홈플러스)",홈플러스_IF인천논현점 
031-851-6342,경기 의정부시 청사로 38 (금오동),홈플러스_IF의정부점 
042-822-9434,"대전 유성구 한밭대로 502 2층 (봉명동,홈플러스)",홈플러스_IF유성점 
